img;act_class
IMG_5233.JPG;cinema, movie theater, movie theatre, movie house, picture palace, home theater, home theatre, restaurant, eating house, eating place, eatery, loudspeaker, speaker, speaker unit, loudspeaker system, speaker system, monitor
IMG_5390.JPG;steel drum, grand piano, grand, oboe, hautboy, hautbois, cello, violoncello, accordion, piano accordion, squeeze box
IMG_4853.jpg;cinema, movie theater, movie theatre, movie house, picture palace, organ, pipe organ, typewriter keyboard, grille, radiator grille, bannister, banister, balustrade, balusters, handrail
IMG_4454.jpg;stage, spotlight, spot, pinwheel, tripod, mountain bike, all-terrain bike, off-roader
IMG_4684.jpg;dome, maze, labyrinth, coil, spiral, volute, whorl, helix, analog clock, vault
IMG_3794.jpg;umbrella, punching bag, punch bag, punching ball, punchball, sax, saxophone, accordion, piano accordion, squeeze box, crutch
df.jpeg;academic gown, academic robe, judge's robe, fur coat, suit, suit of clothes, military uniform, trench coat
IMG_3387.jpg;monitor, cash machine, cash dispenser, automated teller machine, automatic teller machine, automated teller, automatic teller, ATM, screen, CRT screen, digital clock, television, television system
IMG_3154.jpg;mortarboard, academic gown, academic robe, judge's robe, oboe, hautboy, hautbois, cornet, horn, trumpet, trump, military uniform
20160718_202645.jpg;American egret, great white heron, Egretta albus, canoe, fountain, lakeside, lakeshore, crane
IMG_5172.JPG;restaurant, eating house, eating place, eatery, shoji, laptop, laptop computer, window shade, grand piano, grand
IMG_4932.jpg;sax, saxophone, moped, tricycle, trike, velocipede, motor scooter, scooter, groom, bridegroom
IMG_4630.jpg;theater curtain, theatre curtain, altar, suspension bridge, prison, prison house, church, church building
521428_10151254621992834_1633641140_n.jpg;microphone, mike, acoustic guitar, violin, fiddle, accordion, piano accordion, squeeze box, harmonica, mouth organ, harp, mouth harp
IMG_3626.jpg;park bench, greenhouse, nursery, glasshouse, beer bottle, chainlink fence, wine bottle
IMG_5231.JPG;television, television system, home theater, home theatre, gong, tam-tam, monitor, screen, CRT screen
IMG_5209.JPG;accordion, piano accordion, squeeze box, oboe, hautboy, hautbois, harmonica, mouth organ, harp, mouth harp, sax, saxophone, trombone
IMG_5180.JPG;bassoon, acoustic guitar, folding chair, grand piano, grand, electric guitar
display-dummy-915135_1280-800x559.jpg;water bottle, beer glass, beer bottle, wine bottle, parking meter
